center,left,right,steering,speed,throttle,brake
F:\Study Material\IMG\center_2018_05_22_00_57_51_356.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_356.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_356.jpg,0.0,0.0,0.0,5.172411
F:\Study Material\IMG\center_2018_05_22_00_57_51_460.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_460.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_460.jpg,0.0,0.0,0.0,5.0536389999999995
F:\Study Material\IMG\center_2018_05_22_00_57_51_615.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_615.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_615.jpg,0.0,0.0,0.0,4.854457
F:\Study Material\IMG\center_2018_05_22_00_57_51_717.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_717.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_717.jpg,0.0,0.0,0.0,4.731685
F:\Study Material\IMG\center_2018_05_22_00_57_51_867.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_867.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_867.jpg,0.0,0.0,0.0,4.5378680000000005
F:\Study Material\IMG\center_2018_05_22_00_57_51_968.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_51_968.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_51_968.jpg,0.0,0.0,0.0,4.418349
F:\Study Material\IMG\center_2018_05_22_00_57_52_099.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_099.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_099.jpg,0.0,0.0,0.0,4.276554
F:\Study Material\IMG\center_2018_05_22_00_57_52_202.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_202.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_202.jpg,0.0,0.0,0.0,4.136522
F:\Study Material\IMG\center_2018_05_22_00_57_52_335.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_335.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_335.jpg,0.0,0.0,0.0,3.998237
F:\Study Material\IMG\center_2018_05_22_00_57_52_439.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_439.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_439.jpg,0.0,0.0,0.0,3.884321
F:\Study Material\IMG\center_2018_05_22_00_57_52_570.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_570.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_570.jpg,0.0,0.0,0.0,3.744108
F:\Study Material\IMG\center_2018_05_22_00_57_52_672.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_672.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_672.jpg,0.0,0.0,0.0,3.6501330000000003
F:\Study Material\IMG\center_2018_05_22_00_57_52_806.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_806.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_806.jpg,0.0,0.0,0.0,3.5202620000000002
